Oracle,Method,k = 1,k = 10,k = 100,Seeds,All
QED,SynNet,0.948,0.948,0.947,0.673 ± 0.289,0.946 ± 0.001
,SynNet + BO,0.948,0.944,0.933,0.622 ± 0.270,0.931 ± 0.007
,Ours (edits),0.948,0.948,0.947,0.391 ± 0.252,0.947 ± 0.000
GSK3b,SynNet,0.94,0.907,0.815,0.050 ± 0.051,0.803 ± 0.041
,SynNet + BO,0.85,0.684,0.471,0.013 ± 0.024,0.447 ± 0.090
,Ours (edits),0.98,0.967,0.944,0.074 ± 0.055,0.941 ± 0.012
JNK3,SynNet,0.8,0.758,0.719,0.032 ± 0.025,0.715 ± 0.017
,SynNet + BO,0.31,0.241,0.143,0.006 ± 0.012,0.134 ± 0.039
,Ours (edits),0.88,0.862,0.8,0.059 ± 0.053,0.792 ± 0.030
DRD2,SynNet,1,1,0.998,0.007 ± 0.018,0.996 ± 0.003
,SynNet + BO,0.982,0.963,0.722,0.005 ± 0.018,0.672 ± 0.147
,Ours (edits),1,1,1,0.024 ± 0.056,1.000 ± 0.000