,category,osimertinib_mpo K,osimertinib_mpo Top 1,osimertinib_mpo Top 1 SA,osimertinib_mpo Top 10,osimertinib_mpo Top 10 SA,osimertinib_mpo Top 100,osimertinib_mpo Top 100 SA,osimertinib_mpo 2nd,osimertinib_mpo 2nd SA,osimertinib_mpo 3rd,osimertinib_mpo 3rd SA,osimertinib_mpo Top 1 AUC,osimertinib_mpo Top 10 AUC,osimertinib_mpo Top 100 AUC,fexofenadine_mpo K,fexofenadine_mpo Top 1,fexofenadine_mpo Top 1 SA,fexofenadine_mpo Top 10,fexofenadine_mpo Top 10 SA,fexofenadine_mpo Top 100,fexofenadine_mpo Top 100 SA,fexofenadine_mpo 2nd,fexofenadine_mpo 2nd SA,fexofenadine_mpo 3rd,fexofenadine_mpo 3rd SA,fexofenadine_mpo Top 1 AUC,fexofenadine_mpo Top 10 AUC,fexofenadine_mpo Top 100 AUC,ranolazine_mpo K,ranolazine_mpo Top 1,ranolazine_mpo Top 1 SA,ranolazine_mpo Top 10,ranolazine_mpo Top 10 SA,ranolazine_mpo Top 100,ranolazine_mpo Top 100 SA,ranolazine_mpo 2nd,ranolazine_mpo 2nd SA,ranolazine_mpo 3rd,ranolazine_mpo 3rd SA,ranolazine_mpo Top 1 AUC,ranolazine_mpo Top 10 AUC,ranolazine_mpo Top 100 AUC,perindopril_mpo K,perindopril_mpo Top 1,perindopril_mpo Top 1 SA,perindopril_mpo Top 10,perindopril_mpo Top 10 SA,perindopril_mpo Top 100,perindopril_mpo Top 100 SA,perindopril_mpo 2nd,perindopril_mpo 2nd SA,perindopril_mpo 3rd,perindopril_mpo 3rd SA,perindopril_mpo Top 1 AUC,perindopril_mpo Top 10 AUC,perindopril_mpo Top 100 AUC,amlodipine_mpo K,amlodipine_mpo Top 1,amlodipine_mpo Top 1 SA,amlodipine_mpo Top 10,amlodipine_mpo Top 10 SA,amlodipine_mpo Top 100,amlodipine_mpo Top 100 SA,amlodipine_mpo 2nd,amlodipine_mpo 2nd SA,amlodipine_mpo 3rd,amlodipine_mpo 3rd SA,amlodipine_mpo Top 1 AUC,amlodipine_mpo Top 10 AUC,amlodipine_mpo Top 100 AUC,sitagliptin_mpo K,sitagliptin_mpo Top 1,sitagliptin_mpo Top 1 SA,sitagliptin_mpo Top 10,sitagliptin_mpo Top 10 SA,sitagliptin_mpo Top 100,sitagliptin_mpo Top 100 SA,sitagliptin_mpo 2nd,sitagliptin_mpo 2nd SA,sitagliptin_mpo 3rd,sitagliptin_mpo 3rd SA,sitagliptin_mpo Top 1 AUC,sitagliptin_mpo Top 10 AUC,sitagliptin_mpo Top 100 AUC,zaleplon_mpo K,zaleplon_mpo Top 1,zaleplon_mpo Top 1 SA,zaleplon_mpo Top 10,zaleplon_mpo Top 10 SA,zaleplon_mpo Top 100,zaleplon_mpo Top 100 SA,zaleplon_mpo 2nd,zaleplon_mpo 2nd SA,zaleplon_mpo 3rd,zaleplon_mpo 3rd SA,zaleplon_mpo Top 1 AUC,zaleplon_mpo Top 10 AUC,zaleplon_mpo Top 100 AUC
synnet,synthesis,6329.4,0.821 (12|3),3.122 (9|4),0.811 (13|3),3.005 (8|4),0.789 (13|3),3.036 (8|4),0.818 (12|3),2.948 (8|4),0.815 (12|3),2.907 (6|3),0.809 (8|2),0.789 (10|2),0.744 (12|2),6763.2,0.798 (9|3),3.423 (9|4),0.786 (8|2),3.337 (8|4),0.749 (10|2),3.29 (8|4),0.794 (8|2),3.356 (7|3),0.791 (8|2),3.288 (8|4),0.775 (5|2),0.755 (5|2),0.71 (5|2),7443.8,0.783 (10|3),3.355 (10|3),0.771 (10|3),3.628 (12|4),0.745 (12|3),3.772 (13|4),0.778 (10|3),3.802 (12|4),0.776 (10|3),3.736 (12|3),0.758 (8|3),0.732 (6|2),0.671 (6|2),8018.6,0.61 (4|2),3.775 (14|4),0.589 (5|2),3.717 (13|4),0.547 (5|2),3.749 (13|4),0.603 (4|1),3.646 (13|4),0.599 (4|1),3.718 (12|4),0.573 (1|1),0.55 (1|1),0.505 (2|1),7665,0.597 (13|3),2.877 (7|4),0.585 (10|3),2.864 (6|4),0.559 (9|3),2.808 (7|4),0.59 (10|3),2.824 (6|4),0.588 (10|3),3.009 (10|4),0.578 (14|2),0.562 (9|2),0.527 (8|2),3347.4,0.067 (22|3),3.629 (6|4),0.03 (22|3),3.245 (3|3),0.009 (22|3),2.985 (3|3),0.041 (21|3),3.404 (2|2),0.034 (21|3),3.202 (2|2),0.049 (21|3),0.019 (21|3),0.005 (21|3),8349,0.403 (6|2),3.85 (7|4),0.381 (7|2),3.911 (7|4),0.28 (9|2),3.982 (8|4),0.391 (7|2),3.903 (7|4),0.389 (7|2),3.953 (7|4),0.37 (2|2),0.334 (3|2),0.214 (6|2)
pasithea,string,1715.2,0.793 (22|9),2.815 (7|3),0.757 (24|10),3.01 (9|3),0.662 (25|10),3.347 (11|5),0.773 (24|10),2.542 (3|1),0.766 (24|10),3.538 (12|6),0.776 (22|9),0.72 (22|9),0.532 (25|10),5605.6,0.708 (21|9),2.707 (2|1),0.666 (24|10),3.385 (9|3),0.597 (24|10),3.865 (9|3),0.686 (24|10),3.198 (6|3),0.672 (24|10),3.935 (9|3),0.701 (19|8),0.653 (22|9),0.554 (22|9),1002.8,0.443 (24|10),2.897 (3|2),0.354 (24|10),2.945 (2|2),0.219 (24|10),2.67 (1|1),0.388 (24|10),2.686 (1|1),0.372 (24|10),3.327 (8|4),0.397 (24|10),0.29 (24|10),0.153 (24|10),1001,0.448 (23|9),3.382 (8|3),0.425 (23|9),3.023 (6|2),0.37 (23|9),3.077 (6|2),0.442 (23|9),2.914 (3|2),0.435 (23|9),3.22 (11|5),0.441 (22|9),0.405 (22|9),0.322 (22|9),2345.6,0.585 (16|8),2.852 (5|2),0.509 (22|10),2.569 (3|1),0.45 (22|10),2.655 (4|1),0.522 (22|10),2.436 (2|1),0.512 (22|10),2.578 (2|1),0.578 (14|7),0.492 (20|9),0.404 (20|9),9766,0.231 (12|8),7.041 (24|8),0.138 (13|8),6.79 (24|8),0.049 (12|7),6.772 (24|8),0.179 (14|8),5.858 (21|7),0.163 (13|8),7.186 (25|9),0.175 (9|6),0.088 (10|6),0.027 (10|6),10000,0.243 (20|9),6.586 (24|8),0.14 (19|9),6.461 (24|8),0.05 (18|9),6.76 (24|8),0.208 (20|9),5.247 (20|7),0.154 (20|9),6.445 (24|8),0.186 (19|9),0.092 (19|9),0.028 (18|9)
dog_ae,synthesis,1257.8,0.793 (22|4),2.819 (8|3),0.759 (23|4),2.824 (6|3),0.688 (24|4),2.882 (4|3),0.776 (23|4),2.833 (6|2),0.768 (23|4),2.94 (8|4),0.767 (23|4),0.697 (24|4),0.482 (26|4),1247.6,0.724 (18|4),3.085 (5|2),0.687 (20|4),2.922 (3|2),0.634 (22|4),2.977 (3|2),0.704 (20|4),2.809 (3|2),0.698 (20|4),3.212 (6|3),0.686 (23|4),0.637 (23|4),0.513 (25|4),1163.4,0.745 (16|4),3.725 (12|4),0.701 (16|4),3.505 (9|3),0.589 (18|4),3.307 (8|3),0.724 (16|4),3.719 (11|3),0.715 (16|4),3.86 (13|4),0.682 (12|4),0.603 (17|4),0.399 (18|4),1339,0.464 (20|4),3.073 (3|1),0.438 (21|4),2.986 (3|1),0.385 (22|4),2.781 (1|1),0.45 (21|4),3.174 (8|3),0.444 (21|4),2.883 (3|2),0.439 (23|4),0.404 (23|4),0.313 (23|4),1319.4,0.539 (21|4),2.716 (3|3),0.513 (21|4),2.579 (4|3),0.469 (21|4),2.547 (3|3),0.529 (20|4),2.554 (4|3),0.524 (21|4),2.442 (1|1),0.519 (20|4),0.483 (21|4),0.389 (22|4),1940,0.04 (24|4),3.011 (3|2),0.01 (24|4),3.049 (2|2),0.002 (24|4),2.694 (2|2),0.016 (24|4),3.485 (3|3),0.012 (25|4),3.265 (3|3),0.027 (24|4),0.006 (24|4),0.001 (24|4),1478.6,0.157 (22|4),3.148 (3|2),0.055 (24|4),3.33 (2|2),0.007 (24|4),3.111 (2|2),0.125 (22|4),3.235 (3|3),0.086 (23|4),3.235 (2|2),0.081 (23|4),0.02 (24|4),0.002 (25|4)
smiles_vae_bo,string,10000,0.802 (20|8),2.811 (6|2),0.784 (18|7),2.812 (5|2),0.753 (19|8),2.958 (5|2),0.793 (18|7),2.997 (9|3),0.79 (18|7),2.754 (5|2),0.795 (17|7),0.773 (17|7),0.714 (16|7),10000,0.72 (19|8),3.633 (10|3),0.692 (19|8),3.034 (4|1),0.65 (19|8),2.998 (4|1),0.706 (18|8),3.193 (5|2),0.701 (19|8),2.876 (2|1),0.702 (18|7),0.673 (18|7),0.618 (19|8),10000,0.599 (19|8),3.144 (5|4),0.524 (20|8),2.998 (5|3),0.393 (20|8),2.734 (2|2),0.564 (20|8),3.265 (9|5),0.542 (20|8),2.887 (3|2),0.564 (20|8),0.458 (20|8),0.319 (20|8),10000,0.484 (16|6),2.888 (2|1),0.459 (16|6),2.971 (1|1),0.423 (18|7),2.967 (4|1),0.474 (16|6),3.173 (7|3),0.465 (16|6),2.929 (4|2),0.472 (15|6),0.444 (16|6),0.399 (16|7),10000,0.612 (11|5),2.928 (10|3),0.559 (15|7),2.927 (9|3),0.502 (16|8),2.745 (6|2),0.585 (13|6),2.993 (10|4),0.575 (13|6),2.958 (8|5),0.604 (9|5),0.535 (14|6),0.476 (15|7),10000,0.114 (19|9),4.594 (11|4),0.034 (20|10),3.764 (7|2),0.01 (20|10),3.293 (5|1),0.038 (22|10),3.611 (5|1),0.034 (21|10),3.897 (6|2),0.088 (18|9),0.024 (18|9),0.007 (17|9),10000,0.14 (23|10),4.068 (8|2),0.072 (22|10),4.077 (8|2),0.013 (23|10),3.757 (6|2),0.109 (23|10),3.668 (6|2),0.099 (22|10),3.977 (8|2),0.094 (22|10),0.04 (22|10),0.007 (23|10)
jt_vae_bo,graph,5121,0.803 (18|8),3.854 (16|4),0.784 (18|8),3.285 (12|1),0.752 (20|8),3.457 (12|1),0.792 (19|8),3.675 (13|1),0.79 (18|8),4.005 (14|2),0.795 (17|7),0.769 (18|7),0.704 (20|7),4385.2,0.703 (24|8),3.314 (6|1),0.675 (23|8),3.892 (10|1),0.633 (23|8),3.903 (10|1),0.691 (23|8),4.328 (14|4),0.681 (23|8),4.208 (13|2),0.693 (21|8),0.663 (21|8),0.597 (21|8),4350.6,0.588 (20|8),3.948 (14|2),0.525 (19|8),3.671 (13|1),0.363 (21|8),3.439 (10|1),0.576 (19|8),3.948 (14|2),0.546 (19|8),3.589 (9|1),0.577 (18|8),0.489 (19|8),0.306 (22|8),5224.4,0.463 (21|8),3.547 (11|2),0.439 (20|7),3.325 (10|2),0.404 (21|8),3.361 (12|2),0.449 (22|8),3.264 (10|2),0.445 (20|7),3.84 (14|2),0.449 (20|8),0.425 (20|7),0.379 (20|7),5053.6,0.585 (16|4),2.852 (5|1),0.526 (17|4),3.005 (11|2),0.484 (19|5),3.202 (14|3),0.538 (18|5),2.979 (9|1),0.534 (16|4),2.966 (9|1),0.584 (11|4),0.516 (17|4),0.457 (18|5),5491.6,0.17 (16|6),4.398 (9|1),0.063 (16|6),4.277 (10|1),0.015 (17|6),3.908 (9|1),0.117 (16|6),4.284 (9|1),0.094 (16|6),4.497 (10|2),0.105 (15|6),0.032 (17|6),0.007 (17|6),5540.8,0.303 (14|3),4.223 (13|1),0.161 (18|6),4.354 (12|2),0.035 (19|6),4.374 (11|1),0.238 (18|6),4.245 (13|2),0.208 (18|6),4.615 (14|3),0.239 (16|5),0.097 (18|6),0.016 (19|6)
moldqn,graph,10000,0.7 (26|10),5.762 (25|10),0.686 (26|10),5.752 (24|10),0.651 (26|10),5.55 (24|10),0.696 (26|10),5.902 (24|10),0.696 (26|10),5.879 (24|10),0.691 (25|10),0.677 (25|10),0.638 (24|10),10000,0.533 (26|10),5.844 (23|9),0.516 (26|10),5.717 (23|9),0.482 (26|10),5.524 (22|8),0.529 (26|10),5.657 (23|9),0.525 (26|10),5.877 (23|9),0.5 (26|10),0.479 (26|10),0.432 (26|10),10000,0.171 (26|10),4.846 (22|9),0.104 (26|10),5.138 (23|10),0.036 (26|10),5.221 (23|10),0.148 (26|10),4.956 (23|10),0.126 (26|10),5.071 (23|10),0.084 (26|10),0.052 (26|10),0.018 (26|10),10000,0.283 (26|10),4.468 (21|7),0.254 (26|10),5.334 (25|10),0.162 (26|10),5.355 (25|10),0.273 (26|10),4.985 (25|10),0.264 (26|10),5.239 (26|10),0.248 (25|10),0.214 (25|10),0.125 (26|10),10000,0.384 (26|10),5.915 (26|10),0.355 (26|10),6.004 (26|10),0.316 (26|10),6.292 (26|10),0.366 (26|10),5.487 (26|10),0.358 (26|10),5.86 (26|10),0.344 (26|10),0.312 (26|10),0.23 (26|10),10000,0.016 (26|10),5.94 (21|9),0.006 (26|10),5.641 (20|8),0.001 (26|10),5.318 (20|8),0.009 (26|10),6.032 (22|9),0.007 (26|10),5.687 (20|8),0.01 (26|10),0.003 (26|10),0.001 (24|9),10000,0.043 (26|10),6.008 (21|9),0.018 (26|10),6.274 (23|10),0.005 (25|9),6.245 (23|10),0.027 (26|10),6.426 (24|10),0.021 (26|10),6.438 (23|10),0.026 (26|10),0.011 (25|9),0.003 (24|9)
mars,graph,4046.6,0.809 (17|7),4.871 (22|9),0.797 (16|7),4.932 (22|9),0.776 (16|7),5.264 (22|9),0.804 (16|7),4.7 (21|8),0.802 (15|6),4.994 (22|9),0.784 (21|8),0.748 (21|8),0.656 (21|8),6559,0.756 (13|4),5.337 (20|8),0.741 (13|4),5.319 (19|7),0.717 (14|5),5.698 (23|9),0.751 (13|4),5.231 (21|8),0.748 (13|4),5.312 (20|7),0.721 (13|5),0.699 (12|5),0.646 (15|7),2681.4,0.776 (12|3),4.661 (21|8),0.76 (14|4),4.661 (21|8),0.72 (15|5),4.776 (22|9),0.769 (14|4),4.504 (19|7),0.766 (14|4),4.299 (18|6),0.734 (10|3),0.685 (11|3),0.577 (13|5),6346.8,0.489 (15|5),4.906 (24|9),0.48 (13|5),5.016 (24|9),0.463 (12|4),5.271 (24|9),0.484 (14|5),4.79 (23|8),0.482 (14|5),5.124 (24|9),0.472 (15|5),0.454 (13|5),0.414 (13|5),5914.8,0.546 (20|6),4.172 (24|9),0.526 (17|4),3.821 (21|8),0.496 (17|4),4.096 (21|8),0.536 (19|6),3.707 (20|7),0.533 (17|5),3.562 (18|6),0.514 (21|6),0.493 (19|6),0.443 (19|6),10000,0.083 (20|7),5.257 (19|7),0.034 (20|7),4.418 (12|3),0.01 (20|7),4.088 (12|3),0.054 (20|7),4.658 (12|3),0.039 (19|7),4.633 (13|4),0.04 (22|7),0.016 (22|7),0.005 (21|7),2442.4,0.297 (15|4),4.809 (16|4),0.213 (16|5),5.468 (20|8),0.101 (15|5),5.709 (20|8),0.252 (17|5),4.698 (16|4),0.227 (16|5),5.373 (18|7),0.281 (11|2),0.109 (17|5),0.031 (17|5)
selfies_lstm_hc,string,10000,0.832 (10|6),3.366 (10|4),0.822 (10|6),3.151 (11|5),0.804 (11|6),3.206 (9|3),0.827 (10|6),3.304 (10|4),0.824 (10|6),3.112 (10|4),0.805 (12|6),0.783 (14|6),0.733 (15|6),10000,0.769 (12|6),5.692 (21|7),0.754 (12|6),5.322 (20|7),0.727 (12|6),5.226 (20|8),0.761 (12|6),4.506 (16|5),0.758 (12|6),5.498 (22|8),0.719 (14|6),0.696 (14|6),0.652 (13|6),10000,0.795 (9|5),4.12 (16|7),0.77 (12|7),4.545 (19|7),0.725 (14|7),4.601 (19|7),0.782 (9|5),4.857 (22|7),0.773 (11|6),4.781 (22|7),0.679 (15|6),0.615 (16|6),0.502 (17|7),10000,0.522 (10|4),3.542 (10|4),0.502 (11|5),3.206 (9|4),0.469 (11|5),3.161 (9|4),0.513 (11|5),3.346 (11|4),0.508 (11|5),3.068 (6|3),0.474 (14|5),0.45 (14|5),0.401 (15|6),10000,0.6 (12|6),3.141 (13|5),0.58 (11|5),2.894 (8|2),0.554 (12|6),2.865 (8|3),0.588 (12|5),2.767 (5|2),0.584 (11|5),2.906 (6|3),0.571 (16|8),0.534 (15|7),0.487 (13|6),10000,0.35 (7|5),5.232 (18|6),0.23 (8|5),5.096 (19|6),0.102 (8|5),5.146 (19|6),0.285 (8|5),4.537 (11|3),0.259 (8|5),4.572 (11|4),0.203 (8|5),0.117 (8|5),0.041 (9|5),10000,0.361 (10|7),4.136 (9|3),0.31 (11|7),5.199 (18|6),0.214 (13|7),5.529 (19|6),0.338 (10|7),4.536 (14|6),0.326 (10|7),5.546 (20|6),0.304 (8|5),0.218 (10|6),0.103 (12|7)
gp_bo,graph,10000,0.838 (8|2),4.296 (20|7),0.828 (9|2),4.137 (17|4),0.813 (9|2),4.273 (18|5),0.834 (9|2),4.293 (19|6),0.83 (9|2),4.214 (19|6),0.806 (11|3),0.789 (10|4),0.751 (10|5),10000,0.805 (8|2),6.402 (25|10),0.794 (6|2),6.051 (24|10),0.774 (6|2),5.89 (24|10),0.801 (7|2),6.053 (24|10),0.796 (7|2),6.14 (24|10),0.743 (9|3),0.724 (9|3),0.687 (9|3),10000,0.818 (6|1),4.142 (17|4),0.807 (5|1),4.414 (18|6),0.79 (5|1),4.453 (17|5),0.813 (6|1),4.737 (21|9),0.812 (4|1),4.243 (16|4),0.763 (5|1),0.736 (5|1),0.695 (4|1),10000,0.562 (8|2),4.354 (19|6),0.549 (8|2),3.993 (16|4),0.524 (9|3),3.916 (14|3),0.557 (8|2),3.82 (14|3),0.554 (8|2),4.206 (18|6),0.514 (7|2),0.495 (6|2),0.462 (7|2),10000,0.682 (5|2),3.498 (20|6),0.664 (5|2),3.449 (17|5),0.639 (5|2),3.523 (18|5),0.671 (5|2),3.386 (17|5),0.668 (5|2),3.497 (17|5),0.609 (8|2),0.585 (7|2),0.54 (6|2),10000,0.318 (8|2),4.906 (15|4),0.267 (7|2),4.84 (16|6),0.196 (7|2),4.808 (16|6),0.299 (7|2),4.849 (15|4),0.275 (7|2),4.907 (17|7),0.238 (6|2),0.187 (6|2),0.117 (6|2),10000,0.269 (19|6),4.975 (18|6),0.253 (15|4),4.898 (15|4),0.217 (12|3),5.065 (17|6),0.269 (15|4),4.652 (15|3),0.259 (15|4),4.931 (16|5),0.252 (15|4),0.222 (8|2),0.166 (8|2)
smiles_ga,string,4815.2,0.835 (9|5),6.086 (26|10),0.835 (8|5),6.01 (26|10),0.834 (5|4),6.265 (26|10),0.835 (8|5),5.909 (25|9),0.835 (8|5),6.003 (26|10),0.817 (7|5),0.803 (6|4),0.762 (6|4),8784.8,0.771 (11|5),4.631 (15|6),0.765 (11|5),4.909 (17|6),0.757 (8|5),5.141 (18|6),0.768 (11|5),4.684 (18|7),0.768 (11|5),4.834 (18|6),0.728 (11|5),0.718 (10|5),0.695 (7|4),10000,0.78 (11|6),5.895 (24|8),0.775 (9|5),5.904 (24|8),0.766 (9|5),5.997 (24|8),0.778 (10|6),5.752 (24|8),0.777 (9|5),5.927 (24|8),0.721 (11|5),0.699 (10|5),0.671 (6|4),3487.2,0.459 (22|8),3.586 (12|5),0.457 (18|7),4.267 (19|7),0.454 (13|6),4.462 (19|7),0.458 (19|8),4.421 (18|7),0.458 (18|7),4.443 (20|7),0.448 (21|8),0.435 (17|7),0.406 (14|5),4340.4,0.57 (19|9),3.165 (14|6),0.564 (12|6),4.331 (25|10),0.559 (9|5),4.548 (25|10),0.563 (15|7),4.067 (23|9),0.563 (15|7),4.503 (25|10),0.564 (18|9),0.536 (13|5),0.506 (11|5),8642.2,0.505 (3|2),6.764 (23|7),0.481 (3|2),6.554 (23|7),0.437 (3|2),6.675 (23|7),0.496 (3|2),6.632 (24|8),0.488 (3|2),6.278 (22|7),0.379 (3|2),0.343 (3|2),0.285 (3|2),5972.4,0.397 (7|4),6.173 (23|7),0.389 (6|4),6.146 (22|7),0.378 (5|3),6.226 (22|7),0.397 (6|4),6.353 (23|8),0.393 (6|4),6.25 (22|7),0.321 (7|4),0.299 (5|2),0.266 (4|2)
mimosa,graph,10000,0.817 (13|4),4.09 (18|5),0.814 (12|4),4.223 (19|6),0.805 (10|3),4.104 (16|3),0.816 (13|4),4.155 (18|5),0.815 (12|4),4.091 (17|5),0.804 (14|5),0.791 (8|2),0.752 (9|4),10000,0.744 (14|5),4.257 (13|2),0.738 (14|5),4.452 (13|2),0.724 (13|4),4.39 (13|2),0.742 (14|5),4.504 (15|5),0.74 (14|5),4.351 (14|3),0.724 (12|4),0.709 (11|4),0.674 (11|4),10000,0.773 (14|4),3.982 (15|3),0.768 (13|3),3.994 (15|3),0.758 (11|3),4.162 (15|3),0.77 (13|3),4.055 (16|4),0.77 (13|3),3.962 (14|2),0.674 (16|6),0.641 (13|5),0.588 (12|4),10000,0.558 (9|3),4.917 (25|10),0.549 (8|2),4.942 (23|8),0.53 (8|2),4.879 (23|8),0.552 (9|3),4.889 (24|9),0.551 (9|3),4.977 (23|8),0.509 (8|3),0.492 (7|3),0.46 (8|3),10000,0.594 (14|3),2.893 (8|2),0.564 (12|3),3.785 (20|7),0.55 (13|3),4.101 (22|9),0.577 (14|3),3.163 (13|3),0.564 (14|3),4.172 (24|9),0.593 (10|3),0.545 (10|3),0.511 (10|3),10000,0.21 (14|4),5.511 (20|8),0.179 (11|3),5.705 (21|9),0.101 (9|3),5.522 (21|9),0.205 (12|3),5.494 (20|8),0.19 (11|3),5.886 (21|9),0.136 (13|5),0.103 (9|3),0.053 (8|3),9892.6,0.288 (16|5),6.052 (22|10),0.274 (13|2),6.003 (21|9),0.239 (11|2),6.194 (21|9),0.283 (14|3),6.113 (22|9),0.279 (14|3),6.019 (21|9),0.204 (18|6),0.171 (14|4),0.132 (9|3)
